url,kind,lang,status,final_url,title,description,canonical,robots,h1_count,h1_first,category_description_marker,bytes,error
https://www.elmercadodeorigen.com/,page,es,200,https://www.elmercadodeorigen.com/?emdo_final_crawl=1787306055203909463,Productos españoles de origen | El Mercado de Origen,"Descubre productos españoles seleccionados por su origen, calidad y productor. Compra directamente a productores de confianza en El Mercado de Origen.",https://www.elmercadodeorigen.com/,max-image-preview:large,1,Una forma distinta de elegir.,False,1215706,
https://www.elmercadodeorigen.com/aviso-legal/,page,es,200,https://www.elmercadodeorigen.com/aviso-legal/?emdo_final_crawl=1787306055203909463,Aviso legal - El Mercado de Origen,"Última actualización: 18 de agosto de 2026. El Mercado de Origen es el nombre comercial de una plataforma de intermediación online operada por José Antonio Fraga Sánchez, NIF 11854364A, con domicilio en C/ Martín Soler 4, 4º dcha., esc. dcha., 28045 Madrid, España. Contacto: hola@elmercadodeorigen.com · +34 603 02 95 09. Titular y nombre comercial",https://www.elmercadodeorigen.com/aviso-legal/,max-image-preview:large,1,Aviso legal,False,1032253,
https://www.elmercadodeorigen.com/blog/,page,es,200,https://www.elmercadodeorigen.com/blog/?emdo_final_crawl=1787306055203909463,Guías de productos y productores | El Mercado de Origen,"Guías y artículos sobre productos españoles, origen, productores y elaboración para ayudarte a elegir mejor antes de comprar.",https://www.elmercadodeorigen.com/blog/,max-image-preview:large,3,El Mercado de Origen,False,1055197,
https://www.elmercadodeorigen.com/categoria-producto/aceites/,category,es,200,https://www.elmercadodeorigen.com/categoria-producto/aceites/?emdo_final_crawl=1787306055203909463,Comprar Aceites online | El Mercado de Origen,"Compra aceites online directamente a productores seleccionados. Conoce su origen, quién los elabora y recibe tu pedido en casa.",https://www.elmercadodeorigen.com/categoria-producto/aceites/,max-image-preview:large,1,Categoría: Aceites,True,1220667,
https://www.elmercadodeorigen.com/categoria-producto/carnes/,category,es,200,https://www.elmercadodeorigen.com/categoria-producto/carnes/?emdo_final_crawl=1787306055203909463,Comprar Carnes online | El Mercado de Origen,"Compra carnes online directamente a productores seleccionados. Conoce su origen, quién los elabora y recibe tu pedido en casa.",https://www.elmercadodeorigen.com/categoria-producto/carnes/,max-image-preview:large,1,Categoría: Carnes,True,1344973,
https://www.elmercadodeorigen.com/categoria-producto/conservas/,category,es,200,https://www.elmercadodeorigen.com/categoria-producto/conservas/?emdo_final_crawl=1787306055203909463,Comprar Conservas online | El Mercado de Origen,"Compra conservas online directamente a productores seleccionados. Conoce su origen, quién los elabora y recibe tu pedido en casa.",https://www.elmercadodeorigen.com/categoria-producto/conservas/,max-image-preview:large,1,Categoría: Conservas,True,1339262,
https://www.elmercadodeorigen.com/categoria-producto/embutidos-y-curados/,category,es,200,https://www.elmercadodeorigen.com/categoria-producto/embutidos-y-curados/?emdo_final_crawl=1787306055203909463,Comprar Embutidos y curados online | El Mercado de Origen,"Compra embutidos y curados online directamente a productores seleccionados. Conoce su origen, quién los elabora y recibe tu pedido en casa.",https://www.elmercadodeorigen.com/categoria-producto/embutidos-y-curados/,max-image-preview:large,1,Categoría: Embutidos y curados,True,1259527,
https://www.elmercadodeorigen.com/categoria-producto/hortalizas-verduras/,category,es,200,https://www.elmercadodeorigen.com/categoria-producto/hortalizas-verduras/?emdo_final_crawl=1787306055203909463,Comprar Hortalizas/Verduras online | El Mercado de Origen,"Compra hortalizas/verduras online directamente a productores seleccionados. Conoce su origen, quién los elabora y recibe tu pedido en casa.",https://www.elmercadodeorigen.com/categoria-producto/hortalizas-verduras/,max-image-preview:large,1,Categoría: Hortalizas/Verduras,True,1338754,
https://www.elmercadodeorigen.com/categoria-producto/jamones-paletas/,category,es,200,https://www.elmercadodeorigen.com/categoria-producto/jamones-paletas/?emdo_final_crawl=1787306055203909463,Comprar Jamones y paletas online | El Mercado de Origen,"Compra jamones y paletas online directamente a productores seleccionados. Conoce su origen, quién los elabora y recibe tu pedido en casa.",https://www.elmercadodeorigen.com/categoria-producto/jamones-paletas/,max-image-preview:large,1,Categoría: Jamones y paletas,True,1305498,
https://www.elmercadodeorigen.com/categoria-producto/legumbres/,category,es,200,https://www.elmercadodeorigen.com/categoria-producto/legumbres/?emdo_final_crawl=1787306055203909463,Comprar Legumbres online | El Mercado de Origen,"Compra legumbres online directamente a productores seleccionados. Conoce su origen, quién los elabora y recibe tu pedido en casa.",https://www.elmercadodeorigen.com/categoria-producto/legumbres/,max-image-preview:large,1,Categoría: Legumbres,True,1228141,
