11170	Puente Robles	Jamón de bellota ibérico 100% raza ibérica	Acorn-fed ham Iberian 100% Iberian breed	jamon-de-bellota-iberico-100-raza-iberica	acorn-fed-ham-iberian-100-iberian-breed
11183	Puente Robles	Jamón de bellota ibérico 100% raza ibérica (Deshuesado)	Acorn-fed ham 100% Iberian Iberian breed (boneless)	jamon-de-bellota-iberico-100-raza-iberica-deshuesado	acorn-fed-ham-100-iberian-iberian-breed-boneless
11199	Puente Robles	Jamón de bellota ibérico 100% raza ibérica (Cortado a cuchillo)	Acorn-fed ham Iberian 100% Iberian breed (hand-sliced)	jamon-de-bellota-iberico-100-raza-iberica-cortado-a-cuchillo	acorn-fed-ham-iberian-100-iberian-breed-hand-sliced
11221	Puente Robles	Jamón de bellota ibérico 100% raza ibérica (Cortado a máquina)	100% Iberian acorn-fed ham Iberian breed (machine-sliced)	jamon-de-bellota-iberico-100-raza-iberica-cortado-a-maquina	100-iberian-acorn-fed-ham-iberian-breed-machine-sliced
11243	Puente Robles	Jamón de bellota ibérico 75% raza ibérica (Deshuesado)	Iberian acorn-fed ham 75% Iberian breed (boneless)	jamon-de-bellota-iberico-75-raza-iberica-deshuesado	iberian-acorn-fed-ham-75-iberian-breed-boneless
11246	Puente Robles	Taco de jamón cesáreo selección gourmet	Ham chunk cesarean section gourmet selection	taco-de-jamon-cesareo-seleccion-gourmet	ham-chunk-cesarean-section-gourmet-selection
11264	Puente Robles	Jamón de bellota ibérico 75% raza ibérica (Cortado a cuchillo)	Acorn-fed ham Iberian 75% Iberian breed (hand-sliced)	jamon-de-bellota-iberico-75-raza-iberica-cortado-a-cuchillo	acorn-fed-ham-iberian-75-iberian-breed-hand-sliced
11282	Puente Robles	Jamón de bellota ibérico 75% raza ibérica (Cortado a máquina)	Iberian acorn-fed ham 75% Iberian breed (machine-sliced)	jamon-de-bellota-iberico-75-raza-iberica-cortado-a-maquina	iberian-acorn-fed-ham-75-iberian-breed-machine-sliced
11300	Puente Robles	Jamón de bellota ibérico 50% raza ibérica	Iberian acorn-fed ham 50% Iberian breed	jamon-de-bellota-iberico-50-raza-iberica	iberian-acorn-fed-ham-50-iberian-breed
11307	Puente Robles	Jamón de bellota ibérico 50% raza ibérica (Deshuesado)	Iberian acorn-fed ham 50% Iberian breed (boneless)	jamon-de-bellota-iberico-50-raza-iberica-deshuesado	iberian-acorn-fed-ham-50-iberian-breed-boneless
11323	Puente Robles	Jamón de bellota ibérico 50% raza ibérica (Cortado a cuchillo)	Iberian acorn-fed ham 50% Iberian breed (hand-sliced)	jamon-de-bellota-iberico-50-raza-iberica-cortado-a-cuchillo	iberian-acorn-fed-ham-50-iberian-breed-hand-sliced
11341	Puente Robles	Jamón de bellota ibérico 50% raza ibérica (Cortado a máquina)	Iberian acorn-fed ham 50% Iberian breed (machine-sliced)	jamon-de-bellota-iberico-50-raza-iberica-cortado-a-maquina	iberian-acorn-fed-ham-50-iberian-breed-machine-sliced
11359	Puente Robles	Jamón de cebo ibérico 50% raza ibérica	Grain-fed ham Iberian 50% Iberian breed	jamon-de-cebo-iberico-50-raza-iberica	grain-fed-ham-iberian-50-iberian-breed
11368	Puente Robles	Jamón de cebo ibérico 50% raza ibérica (Deshuesado)	Iberian grain-fed ham 50% Iberian breed (boneless)	jamon-de-cebo-iberico-50-raza-iberica-deshuesado	iberian-grain-fed-ham-50-iberian-breed-boneless
11378	Puente Robles	Jamón de cebo ibérico 50% raza ibérica (Cortado a cuchillo)	Iberian grain-fed ham 50% Iberian breed (hand-sliced)	jamon-de-cebo-iberico-50-raza-iberica-cortado-a-cuchillo	iberian-grain-fed-ham-50-iberian-breed-hand-sliced
11396	Puente Robles	Jamón de cebo ibérico 50% raza ibérica (Cortado a máquina)	Grain-fed ham Iberian 50% Iberian breed (machine-sliced)	jamon-de-cebo-iberico-50-raza-iberica-cortado-a-maquina	grain-fed-ham-iberian-50-iberian-breed-machine-sliced
11414	Puente Robles	Jamón de cebo de campo ibérico 50% raza ibérica	Free-range grain-fed ham Iberian 50% Iberian breed	jamon-de-cebo-de-campo-iberico-50-raza-iberica	free-range-grain-fed-ham-iberian-50-iberian-breed
